Name,Team,Age,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Location+,F-Strike%,K-BB%,Location+,PlayerId,MLBAMID
Aroldis Chapman,BOS,37,61.1,81.81381720430107,124.40686468646871,,129.18388349514566,125.7427737226277,,,,,124.86844298245609,0.71052632,0.30701754,124.86844298245609,10233,547973
Chris Martin,TEX,39,42.1,108.02964824120606,107.27759036144577,103.05938596491228,111.77876106194688,111.724,,,,,118.78439450686643,0.72988506,0.20114943,118.78439450686643,11847,455119
Griffin Jax,- - -,30,64,88.95394594594595,104.62311475409837,99.68558139534885,,116.94027468152866,147.66,112.60202531645567,,,117.49810983884475,0.66788321,0.2810219,117.49810983884475,20253,643377
Jeremiah Estrada,SDP,26,73,115.58133903133904,,,107.19630662020904,87.62129555,,,,,115.69248780487806,0.63815789,0.26644737,115.69248780487806,22210,669093
John Schreiber,KCR,31,64,103.69387878787882,113.03970588235293,85.59632653061227,,98.44081355932205,,101.81904761904764,,,112.44115052732512,0.60754717,0.16226415,112.44115052732512,20020,670167
Garrett Whitlock,BOS,29,72,,92.50960432,,,100.71289473684214,,111.6099187,,,111.77459322033894,0.6894198,0.22866894,111.77459322033894,20191,676477
Reid Detmers,LAA,25,63.2,112.53954356846474,107.73891891891891,,,123.94753012048189,95.95519650655022,95.66,,,111.6150834879407,0.61278195,0.20676692,111.6150834879407,27468,672282
Enyel De Los Santos,- - -,29,66,86.95296296296297,,,,104.35995529563662,,85.26178571,,,111.1850886562956,0.65714286,0.13571429,111.1850886562956,18403,660853
Justin Topa,MIN,34,59,,98.12338192419826,82.38973821989529,,115.53617328519853,,80.92625,,,110.74449108079742,0.65267176,0.11450382,110.74449108079742,15145,623437
Bryan King,HOU,28,68,90.44201526717555,89.12596491,,,110.95299435028251,88.03333333333332,81.25600000000001,,,110.45351749539599,0.64727273,0.21090909,110.45351749539599,25890,687911
Justin Wrobleski,LAD,24,55.2,102.2787644787645,85.81212435233161,101.4562686567164,,123.3348717948718,115.61,111.3992307692308,,,110.20080536912748,0.61842105,0.24561404,110.20080536912748,31204,680736
Shelby Miller,- - -,34,46,98.83728111,,,104.47477832512313,87.44578125000001,,,,,110.18942458195068,0.69354839,0.20967742,110.18942458195068,10197,571946
Steven Matz,- - -,34,67.2,,99.45527638190956,,,90.29428571,109.71145706521739,110.29017142857143,,,109.74188509945294,0.66909091,0.13454545,109.74188509945294,13361,571927
Brandon Eisert,CHW,27,66.2,86.14919355,87.69684210526316,,,74.14158653846154,,76.79959654178676,,,109.08513213981244,0.57482993,0.16326531,109.08513213981244,27668,685126
Caleb Boushley,TEX,31,40.1,86.23078125,96.28649214659684,88.04883720930232,,93.65623931623932,82.28938775510206,82.94309523809524,,,108.66111747851008,0.63841808,0.16384181,108.66111747851008,19736,676961
Andrew Kittredge,- - -,35,53,89.93481481,101.8424817518248,,96.70571428571428,104.84517501790324,,,,,108.22480783692536,0.72596154,0.25480769,108.22480783692536,12828,552640
Will Vest,DET,30,68.2,99.98855704697988,120.39534391534389,,,107.59985130111524,,108.86124999999997,,,108.04682581786037,0.64788732,0.18661972,108.04682581786037,19769,676684
Rafael Montero,- - -,34,60.1,99.07936218678815,117.38821428571428,,93.71882352941178,110.71060240963855,,,,,107.93390161683494,0.66007905,0.08300395,107.93390161683494,12760,606160
